exp,trial,num_pat,algo,fmeasure,precision,recall,time
7,0,2,decaf,0.801271186440678,0.670805250088684,0.9947396107311941,0.5957839787006378
7,0,2,kmeans,0.6699334966748337,1.0,0.5036842105263157,2.231740180402994
7,0,2,hierarchical,0.6699334966748337,1.0,0.5036842105263157,1.972402185201645
8,0,2,gra,0.9638620689655172,1.0,0.93024494142705,34.7274938672781
8,0,2,ga,0.6765327695560254,1.0,0.5111821086261981,12.86026231944561
8,0,2,bnb,0.6765327695560254,1.0,0.5111821086261981,13.394945606589317
8,0,2,decaf,0.5716862037871957,0.6563146997929606,0.5063897763578274,0.6027463860809803
8,0,2,kmeans,0.676771237222418,1.0,0.5114544485881726,2.168987236917019
8,0,2,hierarchical,0.676771237222418,1.0,0.5114544485881726,1.9834549129009247
9,0,2,gra,0.9997342545841085,0.9994686503719448,1.0,48.87504452466965
9,0,2,ga,0.9837925445705025,1.0,0.9681020733652312,20.97516381368041
9,0,2,bnb,1.0,1.0,1.0,22.802008856087923
9,0,2,decaf,0.6655597722960152,0.6008565310492505,0.745879851143009,0.7007830999791622
9,0,2,kmeans,0.6732533521524348,1.0,0.5074468085106383,2.3279627300798893
9,0,2,hierarchical,0.6732533521524348,1.0,0.5074468085106383,2.1760984137654305
10,0,2,gra,0.8406779661016949,1.0,0.7251461988304093,32.167507875710726
10,0,2,ga,0.9821428571428572,1.0,0.9649122807017544,20.80064072459936
10,0,2,bnb,0.9997342545841085,0.9994686503719448,1.0,26.235632225871086
10,0,2,decaf,0.6159982273432306,0.5281155015197568,0.7389686337054758,0.604213047772646
10,0,2,kmeans,0.6699681641315882,1.0,0.5037234042553191,2.0904402025043964
10,0,2,hierarchical,0.6699681641315882,1.0,0.5037234042553191,1.932571742683649
11,0,2,gra,0.8871252204585538,1.0,0.7971473851030111,30.896923393011093
11,0,2,ga,0.5103011093502378,0.5103011093502378,0.5103011093502378,13.220109794288874
11,0,2,bnb,0.6757607555089192,1.0,0.5103011093502378,13.44424732774496
11,0,2,decaf,0.7967171717171717,0.6621196222455404,1.0,0.5478307120501995
11,0,2,kmeans,0.6829098503306648,1.0,0.5184989429175476,2.0749220848083496
11,0,2,hierarchical,0.6829098503306648,1.0,0.5184989429175476,1.9411911219358444
12,0,2,gra,1.0,1.0,1.0,28.470208704471588
12,0,2,ga,0.5103011093502378,0.5103011093502378,0.5103011093502378,13.132948745042086
12,0,2,bnb,0.6757607555089192,1.0,0.5103011093502378,14.368645615875721
12,0,2,decaf,0.8297611757501531,0.9868900218499636,0.7157950343370312,0.6096624843776226
12,0,2,kmeans,0.6815331010452962,1.0,0.5169133192389006,2.190999072045088
12,0,2,hierarchical,0.6815331010452962,1.0,0.5169133192389006,1.9297692738473415
13,0,2,gra,0.8641221374045801,1.0,0.760752688172043,27.475743610411882
13,0,2,ga,0.6780383795309168,1.0,0.5129032258064516,12.854880861938
13,0,2,bnb,0.6780383795309168,1.0,0.5129032258064516,13.250867862254381
13,0,2,decaf,0.9822258681979765,0.9994435169727324,0.9655913978494624,0.6265756078064442
13,0,2,kmeans,0.9933208656158161,0.9867303609341825,1.0,2.186944093555212
13,0,2,hierarchical,0.9933208656158161,0.9867303609341825,1.0,1.8845648057758808
14,0,2,gra,0.9984177215189874,0.9968404423380727,1.0,27.891225174069405
14,0,2,ga,0.5103011093502378,0.5103011093502378,0.5103011093502378,13.033318400382996
14,0,2,bnb,0.672,0.9837067209775967,0.5103011093502378,12.433813646435738
14,0,2,decaf,0.7748330101271278,0.6542940320232896,0.9498151082937136,0.5556974597275257
14,0,2,kmeans,0.6750700280112045,1.0,0.5095137420718816,2.2676334977149963
14,0,2,hierarchical,0.6750700280112045,1.0,0.5095137420718816,1.9003783948719501
15,0,2,gra,0.7422818791946308,0.6422764227642277,0.8791732909379968,31.177091617137194
15,0,2,ga,0.5103338632750397,0.5103338632750397,0.5103338632750397,13.095548931509256
15,0,2,bnb,0.4028958136606861,0.49612403100775193,0.33916269210386857,13.160927567631006
15,0,2,decaf,0.7663951993141876,0.6433969053616408,0.9475357710651828,0.5790120325982571
15,0,2,kmeans,0.6847977684797769,1.0,0.5206786850477201,2.1018995493650436
15,0,2,hierarchical,0.6847977684797769,1.0,0.5206786850477201,2.016121380031109
16,0,2,gra,0.8590242442382521,0.9869325997248969,0.7604663487016429,29.320815190672874
16,0,2,ga,0.9918097754293262,0.9889357218124342,0.994700582935877,14.890013009309769
16,0,2,bnb,0.9899417681312863,0.9888947646747752,0.990990990990991,19.4204781614244
16,0,2,decaf,0.7252408477842004,0.5697850438994854,0.9973502914679385,0.6885786838829517
16,0,2,kmeans,0.6783461807988787,1.0,0.513255567338282,2.242443408817053
16,0,2,hierarchical,0.6783461807988787,1.0,0.513255567338282,2.034269366413355
17,0,2,gra,1.0,1.0,1.0,25.888922840356827
17,0,2,ga,0.4908069458631256,0.4736323311976343,0.5092739798622151,12.844330206513405
17,0,2,bnb,0.6757894736842105,1.0,0.5103338632750397,13.569774404168129
17,0,2,decaf,0.7808798646362098,0.6497712073213657,0.9782723900370959,0.5816065780818462
17,0,2,kmeans,0.9952506596306069,0.990546218487395,1.0,2.1506965570151806
17,0,2,hierarchical,0.9952506596306069,0.990546218487395,1.0,1.9122156351804733
18,0,2,gra,1.0,1.0,1.0,27.67864403128624
18,0,2,ga,0.9927942353883107,1.0,0.985691573926868,20.593075025826693
18,0,2,bnb,1.0,1.0,1.0,30.496641013771296
18,0,2,decaf,0.6502620186830713,0.570343725019984,0.7562268150503445,0.5561478175222874
18,0,2,kmeans,0.9887287024901704,0.9777086573354069,1.0,2.312966849654913
18,0,2,hierarchical,0.9887287024901704,0.9777086573354069,1.0,1.9182130098342896
19,0,2,gra,1.0,1.0,1.0,48.27016803622246
19,0,2,ga,0.9989423585404548,1.0,0.9978869519281564,15.393072113394737
19,0,2,bnb,1.0,1.0,1.0,15.559821017086506
19,0,2,decaf,0.6015196285352471,0.5008787346221442,0.7527733755942948,0.7622009478509426
19,0,2,kmeans,0.9422310756972111,0.8907721280602636,1.0,2.198417831212282
19,0,2,hierarchical,0.9422310756972111,0.8907721280602636,1.0,2.159335047006607
