Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
364,3,3,4,49,4,3,118,0
374,4,2,122,45,3,4,235,0
356,3,3,121,39,4,4,229,0
360,5,2,3,41,2,4,109,0
379,4,3,4,55,3,2,124,0
500,47,46,122,108,3,4,380,2
373,4,2,4,48,5,3,123,0
396,5,3,3,53,3,2,130,0
377,4,3,122,53,3,4,245,0
365,4,2,3,49,3,4,116,0
370,4,3,121,44,3,3,228,0
493,4,57,121,45,58,5,351,1
416,4,3,4,44,4,5,116,0
368,4,2,122,50,3,3,231,0
361,5,2,4,49,4,4,122,0
361,4,2,4,48,3,4,120,0
379,3,3,121,41,3,4,232,0
410,6,3,5,58,5,4,145,0
393,4,4,4,53,6,4,130,0
391,5,2,3,47,4,5,120,0
350,3,3,121,44,4,3,229,0
367,3,2,122,50,4,3,232,0
484,5,57,123,51,59,4,350,1
355,3,3,3,47,2,3,112,0
421,3,3,4,56,4,5,139,0
396,5,3,4,54,3,4,126,0
335,4,2,3,50,2,3,112,0
355,4,2,3,46,3,4,110,0
354,4,2,4,48,4,4,114,0
475,4,57,4,49,58,4,228,1
367,5,2,3,45,3,5,115,0
377,4,2,121,48,3,4,235,0
466,2,58,122,50,59,4,341,1
387,4,4,122,52,4,3,243,0
396,12,3,4,50,3,4,136,0
376,5,2,3,47,3,3,123,0
349,3,3,4,43,3,4,109,0
378,5,2,3,53,3,4,122,0
353,4,2,123,44,4,4,233,0
360,3,1,4,47,3,3,112,0
432,4,3,5,52,4,3,136,0
384,5,3,4,46,3,4,119,0
383,4,3,121,51,4,3,244,0
388,4,2,121,44,4,4,233,0
381,5,3,123,49,4,4,241,0
347,4,2,122,41,2,4,219,0
339,3,3,4,46,3,3,110,0
404,6,2,122,50,4,3,257,0
373,6,2,121,45,4,3,232,0
363,4,2,4,44,4,5,107,0
483,3,57,121,42,59,4,336,1
364,3,2,4,48,4,4,120,0
521,4,59,123,58,59,4,364,1
483,5,57,3,49,59,4,236,1
354,3,2,4,48,3,4,110,0
527,6,58,122,54,59,6,370,1
383,4,3,4,50,3,3,122,0
385,4,3,4,51,4,3,125,0
368,4,2,121,48,4,4,233,0
357,4,3,123,50,3,3,239,0
380,4,3,3,46,3,3,109,0
350,3,2,4,43,3,3,109,0
358,4,2,3,41,3,4,110,0
359,4,3,122,52,3,3,239,0
341,3,2,121,46,3,4,236,0
370,3,2,3,48,3,3,113,0
360,3,2,3,46,3,4,114,0
352,4,3,122,47,3,3,234,0
364,4,3,122,46,3,4,229,0
343,4,3,122,41,3,4,230,0
383,6,2,3,47,3,3,119,0
386,4,3,4,48,4,4,121,0
362,4,2,121,48,4,4,241,0
373,3,3,4,46,4,5,115,0
392,5,3,122,50,3,3,252,0
535,4,58,4,46,59,5,225,1
467,4,57,4,44,59,4,222,1
372,4,3,3,52,4,3,120,0
345,3,3,4,44,3,3,119,0
433,6,3,122,59,4,4,268,0
512,48,45,122,107,3,4,380,2
353,4,2,121,40,4,4,227,0
360,4,2,6,51,3,3,121,0
374,4,2,3,47,2,4,113,0
374,4,2,121,50,3,4,235,0
401,5,3,121,52,3,4,247,0
489,4,59,123,52,59,4,354,1
366,4,2,2,50,4,3,115,0
403,5,3,3,47,4,3,122,0
372,3,3,3,44,4,4,115,0
362,3,2,121,50,4,3,239,0
359,4,3,121,44,3,4,233,0
342,4,3,4,47,3,3,115,0
368,4,3,122,55,3,3,246,0
377,4,2,3,48,3,3,117,0
513,46,46,4,109,3,4,263,2
378,5,2,121,48,4,4,241,0
374,5,3,122,51,4,4,248,0
520,46,46,5,111,3,4,266,2
376,4,4,4,47,4,5,129,0
358,3,2,3,47,4,3,108,0
586,49,45,3,114,4,5,272,2
373,4,2,121,45,3,3,232,0
332,4,3,121,45,3,4,229,0
360,4,3,122,57,3,4,239,0
359,4,2,121,41,4,3,233,0
359,4,2,4,47,3,4,109,0
350,4,3,122,44,3,4,228,0
524,46,45,122,102,3,5,372,2
498,45,45,3,104,2,3,257,2
369,4,2,4,40,3,4,107,0
369,3,1,122,40,3,3,226,0
385,4,3,4,46,3,4,124,0
372,3,2,122,44,3,3,235,0
407,5,3,122,52,4,3,254,0
413,5,2,121,48,3,3,238,0
547,49,46,4,108,5,5,283,2
423,6,3,122,61,4,5,266,0
351,3,3,121,42,3,3,224,0
362,4,3,4,41,2,4,107,0
400,4,2,121,42,4,4,231,0
413,4,3,122,53,3,3,236,0
365,4,2,122,49,4,4,237,0
361,4,2,4,47,5,3,117,0
388,4,2,4,46,4,3,116,0
477,3,58,4,47,58,3,226,1
369,4,3,4,49,3,3,116,0
352,4,3,122,44,3,3,229,0
363,3,2,121,42,3,4,224,0
406,3,3,122,49,3,4,234,0
352,4,2,5,46,3,3,117,0
510,4,58,5,48,59,5,242,1
356,3,3,123,51,3,4,240,0
366,4,3,122,49,3,5,234,0
359,4,2,122,40,4,3,224,0
372,4,3,5,55,3,4,125,0
518,47,46,3,106,3,4,259,2
378,5,2,4,45,4,4,125,0
368,3,2,122,60,3,3,250,0
352,4,3,121,47,3,3,229,0
366,3,3,3,51,4,3,120,0
361,3,3,121,44,3,3,224,0
520,47,46,3,109,4,4,266,2
369,4,2,5,49,2,5,120,0
366,3,2,122,44,4,4,227,0
378,4,3,3,56,4,4,126,0
366,3,2,122,52,2,4,237,0
397,6,3,5,50,4,5,141,0
463,8,3,4,47,4,5,127,0
356,4,2,4,47,3,3,113,0
522,48,46,3,102,3,5,263,2
520,46,45,122,103,3,4,382,2
390,4,3,121,50,5,4,245,0
355,4,2,121,39,3,4,225,0
523,46,46,3,109,3,4,267,2
369,5,3,122,44,4,4,234,0
351,3,2,4,43,3,4,106,0
408,6,3,4,49,4,4,137,0
357,3,3,4,48,3,4,116,0
539,6,58,123,61,61,4,382,1
398,6,2,4,58,4,4,136,0
460,5,3,4,56,4,5,140,0
364,3,3,4,51,3,4,118,0
516,47,45,122,107,3,4,383,2
385,4,3,122,49,4,4,241,0
376,2,2,122,52,3,3,241,0
371,3,3,3,48,3,2,112,0
380,4,3,4,56,3,4,126,0
459,4,58,3,49,58,3,225,1
346,3,3,3,44,3,3,110,0
382,4,2,121,53,3,3,234,0
499,5,58,4,56,58,3,241,1
351,3,4,3,48,4,4,115,0
343,5,2,3,44,4,4,109,0
447,7,3,122,49,5,7,255,0
331,4,3,4,42,2,3,108,0
375,4,2,121,49,3,4,238,0
420,5,3,4,58,4,4,143,0
382,4,3,121,44,3,2,229,0
345,4,3,121,44,3,4,227,0
522,5,59,5,54,59,4,250,1
387,4,3,122,58,4,3,243,0
486,4,58,122,48,58,4,342,1
367,3,2,122,48,3,3,235,0
450,6,2,4,49,3,4,122,0
374,3,3,4,43,3,3,115,0
354,3,2,122,54,4,4,241,0
399,4,3,4,67,4,4,145,0
366,3,3,121,46,4,3,230,0
354,4,3,122,46,3,3,231,0
360,3,3,3,46,3,5,118,0
421,5,4,4,51,4,4,140,0
380,4,3,5,54,4,3,125,0
380,4,2,121,31,3,3,206,0
361,3,3,121,43,3,5,231,0
373,4,3,4,45,3,4,112,0
454,4,57,3,47,58,4,225,1
529,47,45,3,110,4,3,268,2
546,47,45,121,103,3,4,383,2
